"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"JOURNAL OF GENOCIDE RESEARCH","1462-3528","1469-9494","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Political Science | Social Sciences, General"
"JOURNAL OF GEODETIC SCIENCE","2081-9919","2081-9943","DE GRUYTER POLAND SP Z O O","BOGUMILA ZUGA 32A STR, WARSAW, Poland, MAZOVIA, 01-811","English","Geosciences | Remote Sensing"
"JOURNAL OF GEOGRAPHY-CHIGAKU ZASSHI","0022-135X","1884-0884","TOKYO GEOGRAPHICAL SOC","12-2 NIBANCHO, CHIYODAKU-KU, TOKYO, JAPAN, 102-0084","","Geosciences | Geography, Physical"
"JOURNAL OF GEOGRAPHY-COGRAFYA DERGISI","1302-7212","1305-2128","ISTANBUL UNIV, FAC LETTERS, DEPT GEOGRAPHY","ORDU CAD. NO 196, 34459 LALEL, ISTANBUL, TURKEY, 00000","","Social Sciences, General | Geography"
"JOURNAL OF GEOLOGY GEOGRAPHY AND GEOECOLOGY","2617-2909","2617-2119","OLES GONCHAR DNIPRO NATL UNIV","GEOLOGY & GEOGRAPHY DEPT, DMYTRO YAVOMITSKYI, 36, DNIPRO, UKRAINE, 49066","English, Russian, Ukrainian","Geosciences | Geosciences, Multidisciplinary"
"JOURNAL OF GEOMETRY","0047-2468","1420-8997","SPRINGER BASEL AG","PICASSOPLATZ 4, BASEL, SWITZERLAND, 4052","","Mathematics | Mathematics"
"JOURNAL OF GEOMETRY AND SYMMETRY IN PHYSICS","1312-5192","1314-5673","INST BIOPHYSICS & BIOMEDICAL ENGINEERING, BULGARIAN ACAD SCIENCES","ACAD GEORGI BONCHEV STR, BLOCK 21, SOFIA, BULGARIA, 1113","","Mathematics | Physics, Mathematical"
"JOURNAL OF GERONTOLOGY AND GERIATRICS","2499-6564","2499-6564","PACINI EDITORE","VIA DELLA GHERARDESCA-ZONA INDUSTRIALE OSPEDALETTO, PISA, ITALY, 56121","","Social Sciences, General | Gerontology"
"JOURNAL OF GLBT FAMILY STUDIES","1550-428X","1550-4298","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Social Sciences, General | Family Studies"
"JOURNAL OF GLOBAL ECONOMIC ANALYSIS","2377-2999","2377-2999","CENTER GLOBAL TRADE ANALYSIS","DEPT AGRICULTURAL ECONOMICS, PURDUE UNIV, 403 W STATE ST, WEST LAFAYETTE, USA, IN, 47907-2056","","Economics | Economics & Business"
"JOURNAL OF GLOBAL ENTREPRENEURSHIP RESEARCH","2228-7566","2251-7316","SPRINGEROPEN","CAMPUS, 4 CRINAN ST, LONDON, England, GWENT, N1 9XW","English","Business"
"JOURNAL OF GLOBAL FASHION MARKETING","2093-2685","2325-4483","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Business | Economics & Business"
"JOURNAL OF GLOBAL INFECTIOUS DISEASES","0974-777X","0974-8245","WOLTERS KLUWER MEDKNOW PUBLICATIONS","WOLTERS KLUWER INDIA PVT LTD , A-202, 2ND FLR, QUBE, C T S  NO 1498A-2 VILLAGE MAROL, ANDHERI EAST, MUMBAI, INDIA, 400059","English","Infectious Diseases | Clinical Medicine"
"JOURNAL OF GLOBAL MOBILITY-THE HOME OF EXPATRIATE MANAGEMENT RESEARCH","2049-8799","2049-8802","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","","Management | Economics & Business"
"JOURNAL OF GLOBAL ONCOLOGY","2378-9506","2378-9506","AMER SOC CLINICAL ONCOLOGY","2318 MILL ROAD, STE 800, ALEXANDRIA, USA, VA, 22314","English","Clinical Medicine | Oncology"
"JOURNAL OF GLOBAL OPERATIONS AND STRATEGIC SOURCING","2398-5364","2398-5364","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","","Management | Economics & Business"
"JOURNAL OF GLOBAL RESPONSIBILITY","2041-2568","2041-2576","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","","Management | Economics & Business"
"JOURNAL OF GLOBAL SCHOLARS OF MARKETING SCIENCE","2163-9159","2163-9167","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Economics & Business | Business"
"JOURNAL OF GLOBAL SECURITY STUDIES","2057-3170","2057-3189","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","","Social Sciences, General | International Relations"
"JOURNAL OF GREEK LINGUISTICS","1566-5844","1569-9846","BRILL","PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA","English","Language & Linguistics"
"JOURNAL OF GROUNDWATER SCIENCE AND ENGINEERING","2305-7068","2305-7068","GROUNDWATER SCIENCE & ENGINEERING LTD","C/O 268, ZHONGHUA NORTH ST, SHIJIAZHUANG, HEBEI, PEOPLES R CHINA, 050061","","Geosciences | Water Resources"
"JOURNAL OF GYNECOLOGIC SURGERY","1042-4067","1557-7724","MARY ANN LIEBERT, INC","140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, USA, NY, 10801","","Obstetrics & Gynecology | Clinical Medicine"
"JOURNAL OF HAND AND MICROSURGERY","0974-3227","0974-6897","GEORG THIEME VERLAG KG","RUDIGERSTR 14, STUTTGART, GERMANY, D-70469","","Clinical Medicine | Surgery"
"JOURNAL OF HAND SURGERY-ASIAN-PACIFIC VOLUME","2424-8355","2424-8363","WORLD SCIENTIFIC PUBL CO PTE LTD","5 TOH TUCK LINK, SINGAPORE, SINGAPORE, 596224","","Clinical Medicine | Surgery"
"JOURNAL OF HAZARDOUS TOXIC AND RADIOACTIVE WASTE","2153-5493","2153-5515","ASCE-AMER SOC CIVIL ENGINEERS","1801 ALEXANDER BELL DR, RESTON, USA, VA, 20191-4400","","Engineering | Engineering, Environmental"
"JOURNAL OF HEAD & NECK PHYSICIANS AND SURGEONS","2347-8128","2347-8128","BHARAT PAPER HOUSE","BHARGAVA INDUSTRIES CAMPUS, INDUSTRIAL ESTATE GOVINDPURA, BHOPAL, INDIA, MADHYA PRADESH, 462 023","English","Clinical Medicine | Medicine, General & Internal"
"JOURNAL OF HEALTH AND ALLIED SCIENCES NU","2582-4287","2582-4953","THIEME MEDICAL PUBL INC","333 SEVENTH AVE, NEW YORK, USA, NY, 10001","","Medicine, General & Internal"
"JOURNAL OF HEALTH AND POLLUTION","","2156-9614","PURE EARTH BLACKSMITH INST","475 RIVERSIDE DR, STE 860, NEW YORK, USA, NY, 10115","English","Environmental Sciences | Public, Environmental & Occupational Health | Environment/Ecology"
"JOURNAL OF HEALTH AND SAFETY AT WORK","2251-807X","2383-2088","IRANIAN OCCUPATIONAL HEALTH ASSOC","DEPT OCCUPATIONAL HEALTH, SCH PUBLIC HEALTH, PO BOX 13155-119, TEHRAN, IRAN, 00000","Persian","Clinical Medicine | Public, Environmental & Occupational Health"
"JOURNAL OF HEALTH CARE CHAPLAINCY","0885-4726","1528-6916","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Social Sciences, General | Health Policy & Services"
"JOURNAL OF HEALTHCARE LEADERSHIP","1179-3201","1179-3201","DOVE MEDICAL PRESS LTD","PO BOX 300-008, ALBANY, NEW ZEALAND, AUCKLAND, 0752","English","Social Sciences, General | Health Policy & Services"
"JOURNAL OF HEALTH MANAGEMENT","0972-0634","0973-0729","SAGE PUBLICATIONS INDIA  PVT LTD","B-1-I-1 MOHAN CO-OPERATIVE INDUSTRIAL AREA, MATHURA RD, POST BAG NO 7, NEW DELHI, INDIA, 110 044","","Social Sciences, General | Health Policy & Services"
"JOURNAL OF HEALTH RESEARCH","0857-4421","2586-940X","COLL PUBLIC HEALTH SCIENCES, CHULALONGKORN UNIV","INST BUILDING 3 1011 FLR, CHULALONGKORN SOI 62, PHYATHAI RD, BANGKOK, THAILAND, 10330","English","Health Care Sciences & Services | Clinical Medicine"
"JOURNAL OF HEBREW SCRIPTURES","1203-1542","1203-1542","UNIV ALBERTA","DEPT SOCIOLOGY, EDMONTON, CANADA, ALBERTA, T6G 2E1","","Religion"
"JOURNAL OF HEMATOLOGY","1927-1212","1927-1220","ELMER PRESS INC","9225 LESLIE ST, STE 201, Ontario, Canada, RICHMOND HILL, L4B 3H6","","Hematology"
"JOURNAL OF HERITAGE TOURISM","1743-873X","1747-6631","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Hospitality, Leisure, Sport & Tourism"
"JOURNAL OF HIGH SPEED NETWORKS","0926-6801","1875-8940","IOS PRESS","NIEUWE HEMWEG 6B, AMSTERDAM, NETHERLANDS, 1013 BG","","Computer Science | Computer Science, Information Systems"
"JOURNAL OF HIMALAYAN EARTH SCIENCES","1994-3237","2305-6959","UNIV PESHAWAR","NAT CENTRE EXCELLENCE GEOLOGY, PESHAWAR, PAKISTAN, 25120","","Geosciences | Geology"
"JOURNAL OF HINDU STUDIES","1756-4255","1756-4263","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","","Religion"
"JOURNAL OF HISTORICAL LINGUISTICS","2210-2116","2210-2124","JOHN BENJAMINS PUBLISHING CO","PO BOX 36224, AMSTERDAM, NETHERLANDS, 1020 ME","","Language & Linguistics"
"JOURNAL OF HISTORICAL RESEARCH IN MARKETING","1755-750X","1755-7518","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","","Economics & Business | Business"
"JOURNAL OF HISTORICAL RESEARCH IN MUSIC EDUCATION","1536-6006","2328-2525","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","","Music"
"JOURNAL OF HISTORY-NCCU","0301-9667","0301-9667","NATL CHENGCHI UNIV, DEPT HIST","NATL CHENGCHI UNIV, DEPT HIST, TAIBEI, TAIWAN, 00000","","History"
"JOURNAL OF HIV-AIDS & SOCIAL SERVICES","1538-1501","1538-151X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Social Sciences, General | Social Work"
"JOURNAL OF HOLISTIC NURSING","0898-0101","1552-5724","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","","Social Sciences, General | Nursing"
"JOURNAL OF HOSPITALITY AND TOURISM INSIGHTS","2514-9792","2514-9806","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","","Social Sciences, General | Hospitality, Leisure, Sport & Tourism"
"JOURNAL OF HOSPITALITY & TOURISM EDUCATION","1096-3758","2325-6540","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Social Sciences, General | Education & Educational Research"
"JOURNAL OF HOUSING FOR THE ELDERLY","0276-3893","1540-353X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Social Sciences, General | Gerontology"
"JOURNAL OF HUMAN BEHAVIOR IN THE SOCIAL ENVIRONMENT","1091-1359","1540-3556","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Social Work | Social Sciences, General"
"JOURNAL OF HUMANISTIC COUNSELING","2159-0311","2161-1939","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","","Psychiatry/Psychology | Psychology, Applied"
"JOURNAL OF HUMANISTIC MATHEMATICS","2159-8118","2159-8118","CLAREMONT CENTER MATHEMATICAL SCIENCES","610 N COLLEGE AVE, 228C, CLAREMONT, USA, CA, 91711","English","Mathematics | History & Philosophy Of Science"
"JOURNAL OF HUMANITARIAN LOGISTICS AND SUPPLY CHAIN MANAGEMENT","2042-6747","2042-6755","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","","Management | Economics & Business"
"JOURNAL OF HUMAN RIGHTS AND SOCIAL WORK","2365-1792","2365-1792","SPRINGER INTERNATIONAL PUBLISHING AG","GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330","","Social Sciences, General | Social Work"
"JOURNAL OF HUMAN RIGHTS AND THE ENVIRONMENT","1759-7188","1759-7196","EDWARD ELGAR PUBLISHING LTD","THE LYPIATTS, 15 LANSDOWN RD, CHELTENHAM, ENGLAND, GLOS, GL50 2JA","","Social Sciences, General | Environmental Studies"
"JOURNAL OF HUMAN RIGHTS PRACTICE","1757-9619","1757-9627","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","","Social Sciences, General | Social Sciences, Interdisciplinary"
"JOURNAL OF HUMAN SPORT AND EXERCISE","1988-5202","1988-5202","UNIV ALICANTE","APARTADO DE CORREOS 99, ALICANTE, SPAIN, 3080","English","Clinical Medicine | Sport Sciences"
"JOURNAL OF HUMAN VALUES","0971-6858","0973-0737","SAGE PUBLICATIONS INDIA  PVT LTD","B-1-I-1 MOHAN CO-OPERATIVE INDUSTRIAL AREA, MATHURA RD, POST BAG NO 7, NEW DELHI, INDIA, 110 044","","Social Sciences, General | Social Sciences, Interdisciplinary"
"JOURNAL OF HUNGER & ENVIRONMENTAL NUTRITION","1932-0248","1932-0256","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Social Sciences, General | Public, Environmental & Occupational Health"
"JOURNAL OF HUNTINGTONS DISEASE","1879-6397","1879-6400","IOS PRESS","NIEUWE HEMWEG 6B, AMSTERDAM, NETHERLANDS, 1013 BG","","Neurosciences | Neuroscience & Behavior"
"JOURNAL OF IBERIAN AND LATIN AMERICAN RESEARCH","1326-0219","2151-9668","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Humanities, Multidisciplinary"
"JOURNAL OF IBERIAN AND LATIN AMERICAN STUDIES","1470-1847","1469-9524","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Humanities, Multidisciplinary"
"JOURNAL OF ICT RESEARCH AND APPLICATIONS","2337-5787","2338-5499","ITB JOURNAL PUBL","LPPM ITB, ITB RECTORATE BUILDING, 5TH FLR, JALAN TAMANSARI 64, BANDUNG, INDONESIA, 40116","English","Computer Science | Computer Science, Information Systems"
"JOURNAL OF ILLUSTRATION","2052-0204","2052-0212","INTELLECT LTD","THE MILL, PARNALL RD, BRISTOL, ENGLAND, BS16 3JG","","Art"
"JOURNAL OF IMAB","1312-773X","1312-773X","GOSPODIN ILIEV PEYTCHINSKI, ED & PUB","DROUJBA BL 116, PLEVEN, BULGARIA, 5806","English","Clinical Medicine | Medicine, General & Internal"
"JOURNAL OF IMAGING","2313-433X","2313-433X","MDPI","ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052","English","Imaging Science & Photographic Technology | Engineering"
"JOURNAL OF IMMERSION AND CONTENT-BASED LANGUAGE EDUCATION","2212-8433","2212-8441","JOHN BENJAMINS PUBLISHING CO","PO BOX 36224, AMSTERDAM, NETHERLANDS, 1020 ME","","Social Sciences, General | Linguistics"
"JOURNAL OF INDIAN ASSOCIATION FOR CHILD AND ADOLESCENT MENTAL HEALTH","0973-1342","0973-1342","INDIAN ASSOC CHILD & ADOLESCENT MENTAL HEALTH","C/O VIVEK AGARWAL, EDITOR, B-1, 10-69, SECTOR K, ALIGANJ, LUCKNOW, INDIA, 226 024","","Clinical Medicine | Pediatrics"
"JOURNAL OF INDIAN BUSINESS RESEARCH","1755-4195","1755-4209","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","","Business | Economics & Business"
"JOURNAL OF INDIAN COUNCIL OF PHILOSOPHICAL RESEARCH","0970-7794","2363-9962","SPRINGER INDIA","7TH FLOOR, VIJAYA BUILDING, 17, BARAKHAMBA ROAD, NEW DELHI, INDIA, 110 001","","Philosophy"
"JOURNAL OF INDIAN GEOPHYSICAL UNION","0257-7968","0257-7968","INDIAN GEOPHYSICAL UNION-IGU","NGRI, UPPAL RD, HYDERABAD, INDIA, 500 007","","Geosciences | Geochemistry & Geophysics"
"JOURNAL OF INDIAN PROSTHODONTIC SOCIETY","0972-4052","1998-4057","WOLTERS KLUWER MEDKNOW PUBLICATIONS","WOLTERS KLUWER INDIA PVT LTD , A-202, 2ND FLR, QUBE, C T S  NO 1498A-2 VILLAGE MAROL, ANDHERI EAST, MUMBAI, INDIA, 400059","English","Dentistry, Oral Surgery & Medicine | Clinical Medicine"
"JOURNAL OF INDUSTRIAL AND PRODUCTION ENGINEERING","2168-1015","2168-1023","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN","","Engineering, Industrial | Engineering"
"JOURNAL OF INDUSTRIAL ENGINEERING AND MANAGEMENT-JIEM","2013-8423","2013-0953","OMNIASCIENCE","TERRASSA, BARCELONA, SPAIN, 00000","English","Engineering, Industrial | Engineering"
"JOURNAL OF INDUSTRIAL INTEGRATION AND MANAGEMENT-INNOVATION AND ENTREPRENEURSHIP","2424-8622","2424-8630","WORLD SCIENTIFIC PUBL CO PTE LTD","5 TOH TUCK LINK, SINGAPORE, SINGAPORE, 596224","","Management | Economics & Business"
"JOURNAL OF INDUSTRY COMPETITION & TRADE","1566-1679","1573-7012","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004","","Business | Economics & Business"
"JOURNAL OF INEQUALITIES AND SPECIAL FUNCTIONS","2217-4303","2217-4303","UNIV PRISHTINES","RR NENA TEREZE 5, PRISHTINE, KOSOVO, 10000","","Mathematics | Mathematics"
"JOURNAL OF INFORMATION AND COMMUNICATION TECHNOLOGY-MALAYSIA","1675-414X","2180-3862","UNIV UTARA MALAYSIA PRESS","UNIV UTARA MALAYSIA PRESS, SINTOK, MALAYSIA, KEDAH, 06010","","Computer Science | Computer Science, Information Systems"
"JOURNAL OF INFORMATION AND ORGANIZATIONAL SCIENCES","1846-3312","1846-9418","UNIV ZAGREB, FAC ORGANIZATION & INFORMATICS","PAVLINSKA 2, VARAZDIN, CROATIA, 42000","English","Computer Science, Interdisciplinary Applications | Computer Science"
"JOURNAL OF INFORMATION ASSURANCE AND SECURITY","1554-1010","1554-1029","DYNAMIC PUBLISHERS, INC","PO BOX 48654, ATLANTA, USA, GA, 30362-0654","","Computer Science | Computer Science, Information Systems"
"JOURNAL OF INFORMATION COMMUNICATION & ETHICS IN SOCIETY","1477-996X","1758-8871","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","","Social Sciences, General | Ethics"
"JOURNAL OF INFORMATION & KNOWLEDGE MANAGEMENT","0219-6492","1793-6926","WORLD SCIENTIFIC PUBL CO PTE LTD","5 TOH TUCK LINK, SINGAPORE, SINGAPORE, 596224","","Social Sciences, General | Information Science & Library Science"
"JOURNAL OF INFORMATION & OPTIMIZATION SCIENCES","0252-2667","2169-0103","ANALYTIC PUBL CO","F-23 MODEL TOWN, DELHI, INDIA, 110 009","","Information Science & Library Science"
"JOURNAL OF INFORMATION POLICY","2381-5892","2158-3897","PENN STATE UNIV PRESS","820 NORTH UNIV DRIVE, U S B 1, STE C, UNIVERSITY PK, USA, PA, 16802","English","Communication | Social Sciences, General"
"JOURNAL OF INFORMATION PROCESSING SYSTEMS","1976-913X","2092-805X","KOREA INFORMATION PROCESSING SOC","1002HO YONGSUNGBIZTEL 314-1 2GA HANKANGRO YONGSAN-GU, SEOUL, SOUTH KOREA, 140-750","","Computer Science | Computer Science, Information Systems"
"JOURNAL OF INFORMATION TECHNOLOGY EDUCATION-INNOVATIONS IN PRACTICE","2165-3151","2165-316X","INFORMING SCIENCE INST","131 BROOKHILL CT, SANTA ROSA, USA, CA, 95409","","Social Sciences, General | Education & Educational Research"
"JOURNAL OF INFORMATION TECHNOLOGY EDUCATION-RESEARCH","1547-9714","1539-3585","INFORMING SCIENCE INST","131 BROOKHILL CT, SANTA ROSA, USA, CA, 95409","","Social Sciences, General | Education & Educational Research"
"JOURNAL OF INFORMATION TECHNOLOGY IN CONSTRUCTION","1874-4753","1874-4753","INT COUNCIL RESEARCH & INNOVATION BUILDING & CONSTRUCTION","KRUISPLEIN 25 G, PO BOX 1837, ROTTERDAM, NETHERLANDS, 3000 BV","English","Engineering, Civil | Engineering"
"JOURNAL OF INFORMATION TECHNOLOGY RESEARCH","1938-7857","1938-7865","IGI GLOBAL","701 E CHOCOLATE AVE, STE 200, HERSHEY, USA, PA, 17033-1240","","Computer Science, Interdisciplinary Applications | Computer Science"
"JOURNAL OF INFUSION NURSING","1533-1458","1539-0667","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","","Clinical Medicine | Nursing"
"JOURNAL OF INNOVATION ECONOMICS & MANAGEMENT","2032-5355","2032-5355","DE BOECK UNIV","FOND JEAN-PAQUES 4,, LOUVAIN-LA-NEUVE, BELGIUM, B-1348","","Management | Economics & Business"
"JOURNAL OF INSTITUTIONAL STUDIES","2076-6297","2412-6039","INT ASSOC INST RESEARCH","PUSHKINSKAYA UL, 43, KOMN 10, ROSTOV-ON-DON, RUSSIA, 00000","English, Russian","Economics | Economics & Business"
"JOURNAL OF INSURANCE ISSUES","1531-6076","2332-4244","WESTERN RISK & INSURANCE ASSOC","821 ACADEMIC WAY, 313 ROVETTA COLL BUSINESS, FLORIDA STATE UNIV, TALLAHASSEE, USA, FL, 32306-1110","","Economics & Business | Business, Finance"
"JOURNAL OF INTEGER SEQUENCES","1530-7638","1530-7638","UNIV WATERLOO","DEPT COMPUTER SCIENCE, WATERLOO, CANADA, ON, NL2L 3G1","","Mathematics | Mathematics"
"JOURNAL OF INTEGRATED CARE","1476-9018","2042-8685","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","","Health Policy & Services"
"JOURNAL OF INTEGRATED DESIGN & PROCESS SCIENCE","1092-0617","1875-8959","IOS PRESS","NIEUWE HEMWEG 6B, AMSTERDAM, NETHERLANDS, 1013 BG","","Engineering, Multidisciplinary | Engineering"
"JOURNAL OF INTEGRATIVE BIOINFORMATICS","1613-4516","1613-4516","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785","English","Mathematical & Computational Biology | Computer Science"
"JOURNAL OF INTELLECTUAL DISABILITIES","1744-6295","1744-6309","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","","Social Sciences, General | Education, Special"
"JOURNAL OF INTELLECTUAL DISABILITIES AND OFFENDING BEHAVIOUR","2050-8824","2050-8832","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","","Social Sciences, General | Criminology & Penology"
"JOURNAL OF INTELLECTUAL PROPERTY LAW & PRACTICE","1747-1532","1747-1540","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP","","Social Sciences, General | Law"
"JOURNAL OF INTELLIGENCE STUDIES IN BUSINESS","2001-015X","2001-015X","HALMSTAD UNIV, SWEDEN","PO BOX 823, HALMSTAD, SWEDEN, 30118","English","Economics & Business | Business"
"JOURNAL OF INTELLIGENT SYSTEMS","0334-1860","2191-026X","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785","English","Computer Science | Computer Science, Artificial Intelligence"
"JOURNAL OF INTERACTIONAL RESEARCH IN COMMUNICATION DISORDERS","2040-5111","2040-512X","EQUINOX PUBLISHING LTD","415, THE WORKSTATION, 15 PATERNOSTER ROW, SHEFFIELD, ENGLAND, S1 2BX","","Social Sciences, General | Linguistics"
"JOURNAL OF INTERACTIVE MEDIA IN EDUCATION","1365-893X","1365-893X","UBIQUITY PRESS LTD","2N, 6 OSBORNE ST, LONDON, ENGLAND, E1 6TD","English","Social Sciences, General | Education & Educational Research"
"JOURNAL OF INTERACTIVE ONLINE LEARNING","1541-4914","1541-4914","NATL CENTER ONLINE LEARNING RESEARCH","C/O VIVIAN H WRIGHT, EXECUTIVE EDITOR, UNIV ALABAMA, COLL EDUCATION, TUSCALOOSA, USA, AL, 35401","English","Social Sciences, General | Education & Educational Research"
"JOURNAL OF INTERCONNECTION NETWORKS","0219-2659","1793-6713","WORLD SCIENTIFIC PUBL CO PTE LTD","5 TOH TUCK LINK, SINGAPORE, SINGAPORE, 596224","","Computer Science, Theory & Methods | Computer Science"
"JOURNAL OF INTERCULTURAL STUDIES","0725-6868","1469-9540","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Social Sciences, General | Sociology"
"JOURNAL OF INTERDISCIPLINARY ECONOMICS","0260-1079","2321-5305","SAGE PUBLICATIONS INDIA  PVT LTD","B-1-I-1 MOHAN CO-OPERATIVE INDUSTRIAL AREA, MATHURA RD, POST BAG NO 7, NEW DELHI, INDIA, 110 044","","Economics | Economics & Business"
"JOURNAL OF INTERDISCIPLINARY MATHEMATICS","0972-0502","2169-012X","TARU PUBLICATIONS","G-159, PUSHKAR ENCLAVE, PASHCHIM VIHAR, NEW DELHI, INDIA, 110 063","","Mathematics | Mathematics"
"JOURNAL OF INTERGENERATIONAL RELATIONSHIPS","1535-0770","1535-0932","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Social Sciences, General | Gerontology"
"JOURNAL OF INTERNATIONAL ACCOUNTING RESEARCH","1542-6297","1558-8025","AMER ACCOUNTING ASSOC","5717 BESSIE DR, SARASOTA, USA, FL, 34233","","Economics & Business | Business, Finance"
"JOURNAL OF INTERNATIONAL AND COMPARATIVE EDUCATION","2232-1802","2289-2567","UNIV MALAYA PRESS, FAC EDUC, CENTRE RES INT & COMP EDUC","PANTAI VALLEY, KUALA LUMPUR, MALAYSIA, 50603","English","Social Sciences, General | Education & Educational Research"
"JOURNAL OF INTERNATIONAL AND COMPARATIVE LAW","","2313-3775","SWEET & MAXWELL","16-F CITYPLAZA 3, TAIKOO SHING, HONG KONG, 00000","","Law"
